"username","rating","helpful","total","date","title","review"
"gurochuck","9","365","438","24 April 2006"," What Movie Were You Guys Watching?!!
","I know I'm late as hell and I hate to break the overall 'vibe' about this movie but this movie was great when I saw it in the theater and gets better every time I watch it over again. And this is mainly because of the performances by Denzel and Ethan. I don't know what you guys expected but the movie CLEARLY suggests that Denzel is a crooked, burnt-out, streetwise cop and Ethan is a 'wet-behind-the-ears' clueless rookie. So knowing that, WHAT DID YOU GUYS EXPECT, Malcolm X, Remember The Titans, The Hurricane?? If you were, then maybe you all need to be checked out. The reason why this movie was so great is because it wasn't the typical Denzel 'role model' movie. We KNOW that he can play those roles well so it's a testament to his acting ability that he can portray the other side of the spectrum. And my hat goes off to Ethan because he bounces off Denzel flawlessly.<br/><br/>I hate to break the news to you guys but cops like Alonzo ARE OUT THERE and need to be acknowledged. Acting like the problem doesn't exist does not solve it. You don't have to go that deep to know that Alonzo was once a good cop who just got fed up w/ 'police procedures.' If you acknowledge that Jake's shallow-mindedness at the beginning of the film only allows him to look at the perks of making detective and how the progress of the day transforms him, you can really appreciate Ethan's portrayal of him. Let's face it, a bad day at the office when you're a narcotics detective differs greatly from that of an office executive and the different stresses can warrant different results.<br/><br/>Even the street rhetoric was authentic. Maybe you guys need to get out of the 'burbs more. You guys didn't actually expect eloquent dialogue with little or no profanity, did you? The only part of this movie I struggle with is Dr. Dre's terrible overacting and that isn't nearly enough to take away from the overall result.<br/><br/>Next time you guys bash a movie, make sure to try to be objective and rate what you see and not what you're used to seeing!!"
"ExpendableMan","9","121","141","15 May 2006"," Fantastic, Denzel Washington's finest hour
","Before seeing this movie, my impression of Denzil Washington as an actor wasn't especially high. Not to say that he isn't talented, just that ever since Crimson Tide he appeared to be slotted neatly into every stern hero in every serious political thriller to be trotted off the studio assembly line for years. But then came Training Day and his role as Alonzo Harris and all that changed. Shrugging off the overly serious good guy image once and for all, Washington here is a revelation; a barking, ranting maelstrom of police brutality who believes that maintaining order on the crime ridden streets of LA means being even more ruthless than the drug dealers he faces on a day to day basis. His performance elevates the film from standard thriller fare into an exemplary story that has quite rightly become one of my favourite films of all time.<br/><br/>Set over the course of twenty four hours, the film whisks Ethan Hawke's naive young police officer onto an introductory day of Narcotics work under Alonzo's tutelage. As the hours go by, Hawke is subjected to more and more violence as the heat and paranoia of suburban Los Angeles combined with his loose cannon superior officer play a heavy toll on his nerves. Consequently, the film is very much a two man story with Hawke and Washington playing off against each other expertly as polar opposites. One young, inexperienced and a firm believer in the rule book, the other older, more cynical and twisted by all his years on the streets into a bull-headed monster.<br/><br/>The story itself is fraught with tension. Alonzo forcing his young protégé to smoke PCP at gunpoint is just the start and from there on the pulse pounding never stops. The execution scene where Hawke realises just how far gone his partner is for example is one of nail-biting pressure and shortly after, his encounter with a trio of Mexican gang members is jaw dropping, working as the exact moment you realise how much hot water he has found himself in.<br/><br/>The end result is nothing less than a brilliant thriller. Hawke and Washington make for a phenomenal double act and the pace only occasionally lets up to allow the characters time to breathe and establish the depth that makes you care for them more. Highly, highly recommended so long as you're prepared to be absolutely terrified of Denzel Washington for years to come."
"tburke85","8","46","53","13 June 2009"," Training Day A Solid Action Crime Thriller
","Training Day is a solid action crime thriller with exceptional performances by Ethan Hawke and especially Denzel Washington. Director Antoine Fuqua has done an admirable job of making this movie about a rookie cop who gets into a lot more than he bargained for while on a day with a senior rogue detective to prove he's got what it takes to be a narc. Denzel Washington is fantastic as twisted but charismatic Detective Alonzo Harris who takes a big departure from his good guy roles to play the villain in this one. Washington has show over and over again that he's a talented actor. Well he continues to prove just that in Traning Day and then some. Ethan Hawke is equally impressive as rookie cop Jake Hoyt who finds himself in one increasingly dangerous situation after another. Hawke holds his own against Washington on screen and he may not have the flashier role but he goes a very good job as the hero in this film. The rest of the supporting cast including Scott Glenn, Cliff Curtis, Dr. Dre, Snoop Dogg, and a brief appearance by Tom Berenger are solid in their roles but none of them are given much to do and are merely given extended cameos. They still prove to be effective none the less in their brief screen time. The music seemed to sync very well with what was happening on the screen and the tone of the film. The brutal action violence is well executed but the showdown between Washington and Hawke near the end did get a bit unrealistic. It was still intense though and the two actors really got to show their off their acting chops in this movie. The vulgar language did get a bit much at times but the good more than outweighs the bad in this one. Despite some flaws Training Day is an entertaining action crime thriller with great performances from Hawke and especially Washington who make this movie definitely worth the time to watch."
"Cocacolaguy912-2","10","147","187","28 December 2006"," Stunning performance by Denzel Washington...
","""Training Day"" was a very good movie. I like movies that shove it in your face and make you deal with it...movies like, ""Black Hawk Down""...no clichés, no touching moments, just brutal, bitter realism. ""Training Day"" was such a movie. However, the one thing that made this film really shine was the performance by Mr. Washington. To me, a good actor is someone who just IS a character...if it isn't obvious that they are acting than they are doing a good job. That was the case with Washingon. He just was Alonzo. Every pantomime, every word, every glance was performed masterfully. Did Mr. Washington deserve his Oscar? Absolutely. 200%. Some people say, ""not Oscar material"" and I must wonder, what film...what performance were they watching?"
"bkoganbing","9","55","68","19 April 2008"," Street Justice Dispensed
","Ethan Hawke, bright eyed and innocent, reports to his training officer for his first day on the job in narcotics in the LAPD. He never could have fathomed just how much he would learn on that very first Training Day.<br/><br/>His training officer is Denzel Washington, a thirteen year veteran on the police who's put in a few years in plainclothes in Narcotics. He certainly has the experience, but just what kind of experience and what he imparts to Hawke is the subject of Training Day.<br/><br/>A film like Training Day will rise and fall with the performances of these two characters since one or the other and mostly both is on screen from the beginning. Fortunately both Washington and Hawke complement each other's performances like jigsaw puzzle fit.<br/><br/>It is no accident that Denzel Washington won his second Oscar, his first as Best Actor. This performance is working on so many levels it's astonishing. Washington is at all times, charming, capable, corrupt, violent, street smart, and arrogant. What I liked most about it is how the various facets of this character are revealed bit by bit to the audience and to Hawke though not at the same time.<br/><br/>As for Ethan Hawke it takes him to realize just exactly what he's dealing with in a training officer. Hawke was nominated himself as Best Supporting Actor, but lost to Jim Broadbent for Iris. Still it remains his career role so far.<br/><br/>Corruption in the Los Angeles Police Department isn't exactly a new story. In fact one of the supporting players, Scott Glenn who plays a drug peddler and well, did another film about LAPD corruption in Extreme Justice. LA Confidential also dealt with this issue recently, another fine film.<br/><br/>Denzel Washington is a great example in this film of the arrogance of power. He's a guy who dispenses more street justice than going through the traditional system. So with what happens to him here, he gets one of the best comeuppances ever seen on the big screen.<br/><br/>And I won't say what it is, but you've got to see Training Day to find out."
"Catherine_Grace_Zeh","9","93","121","2 August 2006"," Excellent film that is sure to keep you on the edge of your seat and blow you away
","If you ask me, TRAINING DAY is an excellent film that is sure to keep you on the edge of your seat and blow you away. Harris (Denzel Washington) kind of gave me the creeps. You'll understand why once you've seen this movie. In my opinion, the performances were top grade, the direction was superior, the costumes were perfectly designed, and the cast was perfectly chosen. Also, the soundtrack is really good, too. Before I wrap this up, I must warn you that this movie is very violent if you're going to see it, so viewer discretion is strongly advised. Now, in conclusion, if you're a fan of Denzel Washington or Ethan Hawke, I highly recommend this movie. It's sure to keep you guessing from start to finish."
"Tantive7","10","153","205","31 January 2006"," Denzel's Acadamy Award Winning Moment
","In his Acadamy Award Winning Performance,as best Actor.The movie, as the title suggests, follows a single day in the life of rookie cop Jake Hoyt (Hawk) as he is subject to a single day of evaluation by a senior, decorated police narcotics officer Alonzo Harris (Washington) to see if he has what it takes to be a 'narc'. Almost immediately Hoyt is placed on the back foot, constantly caught off guard by Alonzo's nature, his ability to switch between a cold, no-nonsense street-wise player, a genuinely caring and good intentioned leader, and occasionally jovial companion. From their first encounters though, where Hoyt tells Harris he will do ""anything you want me to do"", the situations Hoyt is taken into become more and more morally ambiguous, from the simple use of excessive force to outright illegal activity, forcing Hoyt to decide which side Harris is truly on, whether to trust him, or whether Hoyt is the unwitting centerpiece of a huge and complex web of lies and set-ups in order for Harris to for fill his own sinister motives..This is the movie that won Denzel the Oscar that year for Best Actor!! A must watch"
"icklecharmer","9","160","224","22 December 2005"," Performance of a Lifetime from Denzel!
","Wow! What a superb film, Denzel Washington at his superb best. Denzel plays a terrific part as Alonzo Harris, a cop with a dark personality.<br/><br/>From the moment you set eyes on him you can relies that Alonzo is a feisty character, who will stop at nothing to get what he wants.<br/><br/>Ethan Hawke provides excellent backup but Denzel steals the show. I don't want to give an plot lines away but there are only three movies in cinema history I have given 10/10, and this one was so close to being number four.<br/><br/>I sincerely hope to see Denzel put in another performance like this one.<br/><br/>Plot is excellent as it leads you into false sense of securities and even shouting at the TV set.<br/><br/>I loved every breathtaking moment of this film and I am sure you will too.<br/><br/>Quite extraordinary."
"seymourblack-1","9","11","12","27 January 2012"," Authentic, Intelligent & Utterly Engrossing
","This movie's a top quality police drama that's not only violent, tense and exciting but also authentic, intelligent and utterly engrossing. It's set in the most dangerous neighbourhoods of L.A. where undercover cops regularly have contact with drug dealers and gangsters and also face high-risk situations on an almost daily basis. The men who undertake this work have to assume many of the characteristics of the criminals they pursue in order to be accepted and in so doing are expected to avoid being sucked into behaving in the same way as the people they're seeking to bring to justice. Needless to say, not every officer manages to do this.<br/><br/>Jake Hoyt (Ethan Hawke)is an ambitious young rookie who wants to advance his career by becoming a member of an elite squad of undercover officers who work under the leadership of Detective Sergeant Alonzo Harris (Denzel Washington). When Alonzo agrees to take Jake on a one-day ride-along, Jake's thrilled, eager to learn and hopeful that he can show that he has the qualities needed to be a successful member of Alonzo's team.<br/><br/>Jake is naive, idealistic and totally unprepared for the events that he'll experience during his training day. He's initially disconcerted by Alonzo's repartee and sense of humour and is later unsettled by some of his mentor's practices, which seem incredibly unorthodox. Alonzo has many years of experience in undercover work and so Jake is reluctant to challenge his methods too strongly.<br/><br/>After observing the sale of some drugs in a park, Alonzo chooses not to make any arrests but simply acts in a very threatening manner towards the buyers and then confiscates their drugs. When Jake sees a young girl in an alley being sexually assaulted by two men, he overpowers them on his own and is then surprised when Alonzo decides not to report the incident after viciously beating up the two attackers. Alonzo knows that the girl's related to a gang member who will ensure that the two men are suitably punished but Jake is appalled by the use of this kind of street justice.<br/><br/>Later, Jake accompanies Alonzo when he uses a fake search warrant to enter a drug dealer's house so that he can steal the dealer's money and on another occasion when Alonzo and the rest of his squad kill a drug dealer who used to be a cop so that they can steal his money. Jake refuses to take a share of the proceeds but then is forced to change his mind after Alonzo threatens to frame him for the murder.<br/><br/>During his day with Alonzo, Jake is forced at gunpoint to smoke marijuana (laced with P.C.P.) and later pressured into drinking whisky and beer. He also learns that Alonzo owes a large amount of money to some Russian gangsters from Las Vegas and that the money stolen from the drug dealers is to be used to pay them off.<br/><br/>Jake's recognition of how corrupt Alonzo had become had grown as the day progressed but things then become even more threatening when he realises during a visit to a Latino gangster's home that Alonzo has abandoned him and the gang are determined to kill him.<br/><br/>""Training Day"" contains plenty of action and violence but it's all relevant to the story and is very effective in portraying the level of danger that Jake finds himself in. The way in which the story unfolds draws the audience into identifying with the hapless trainee and in so doing makes the whole drama extremely gripping. The initial meeting of Alonzo and Jake is fascinating and the way that their relationship develops turns out to be both interesting and unpredictable. The inclusion of sequences filmed on location in the neighbourhoods where the action is set, enhances the realistic feel of the whole project and the authentic sounding dialogue strengthens this further.<br/><br/>Denzel Washington's Oscar winning performance captures perfectly Alonzo's unique combination of charm and menace and Ethan Hawke is extremely impressive as a young guy who experiences the most eventful and memorable day of his life."
"Juan_from_Bogota","9","59","82","27 April 2007"," Great acting by Washington and Hawke Excellent Thriller - Action Film!
","This movie impressed me by its great quality in all ways, the story, thrilling with great police detective action and the most remarkable aspect of the movie was the acting performances of Denzel Washington and Ethan Hawke; they put his soul on the characters making this movie a total delight for those who like action films with intelligent scripts and also like for high quality films.<br/><br/>About the Movie: Ethan Hawke plays Jake Hoyt, a rookie police officer with a good curriculum that is assigned to a one day trial day in order to qualify for a narcotics division in Los Angeles. Hawke meets then detective Alonzo Haris (Denzel Washington) who was assigned as trainer and evaluator for this rookie. Hoyt wants fiercely to get this assignment, but finds very orthodoxes and quaint ways to ""protet and to serve"" of Alonzo. In this day Hoyt will meet a true challenge and will face the total opposite way to proceed from the one he learned in the academy; he will also face some of the more dangerous neighborhoods and streets of Los Angeles."
"the_muffler","9","93","134","23 February 2006"," It's my favourite movie
","I remember being lent this on DVD during the summer holidays by a mate soon after it was out. I must have watched it every day/second day for about a month! I loved it so much I could never get enough. Denzel and Ethan are a perfect match for this movie; I can't imagine anyone else playing their rolls. Can you? You will either love this movie or find it just a way to 'pass a night'. If you connect with it then you'll never forget it. I know I haven't and I haven't watched it since 2002 because I can remember every part in detail! Training Day is one of those movies which breaks new ground in terms of how a movie can come across to people. It was filmed in such locations such as Imperial Courts neighborhood which, until now, hasn't been filmed. The talk is the talk... you get a real sense of what it's like for these guys as narcotic officers and for what it's like for these guys as the 'bad guys' themselves. At the end of they day they're ""Just people and they always were"" (Ethan Hawk in a making of Traning day interview).<br/><br/>The movie isn't the fastest paced one around - there are some slow moments but they are played out meaningfully due to some great acting talent which gels the scenes together well. The more you watch it, the more subtle lines and actions you will pick up which make this movie authentic.<br/><br/>Overall, to each his own. I have found this to be one of my favorite movies due to great acting, great directing, great casting (Hawk, Washington, Scott Glen etc) and an interesting storyline."
"buzznzipp1995","9","59","88","24 January 2007"," First day on a new job, can be stressful...
","Denzel is a real chameleon. This is a sinister and likable personality...all because of him. Enter Ethan Hawke's character, officer Jake Hoyt. With the allure of a new job, a transfer to the division that he has been working hard to reach. He is at the top of his game. <br/><br/>The Call, from the department head, Alonzo Harris, congratulating him on his promotion, sort of. Denzel Washington, takes on a character, like none other that he has had so far. Sounds like a big business wall street type scenario aye? Not even close, down of skid-row street maybe. This is a story set in Los Angeles, that even when it's daylight, this is the darkest 'beat' in the whole department's city.<br/><br/>From the moment that the meet was set at the coffee shop, something is just, slightly skewed. There seems an absence of real concern for Jake's situation and a lot more mechanical rogue cop, trainer 'Doggin' going on here. Alonso wants to catch him up on what's going on, of course, see what he is made of, but Alonzo is dangerous, because he doesn't care, anymore. His soul has departed, and it's simply a matter of time before, he is too. As they departed from the coffee shop, by way of a black Monte Carlo. The director, Antoine Fuqua wanted to show a more real and brutal side of the crime busting business. The place where lines are so blurred...if they even exist anymore. Denzel Washington, should be applauded for the part that he became ' wholly ' involved in. Scary in some ways, it appeared as if there was no acting, just this over the edge ' Narc ' who you just gotta watch like a hawk! <br/><br/>Ethan, was the ' newbie ' but a very likable, ""Just wanting to do the right thing"" type of guy. Some what confused at times about the way in which Harris attended to his profession. Curious about why he would do what he would do. Alonzo, always explaining away the point to a nervous rookie, who in the back of his mind just knew, that there is something here, that won't let him rest until he does the right thing. It almost costs him his life, in the end, Hoyt is a master in his career field...a true Wolf, amongst the dogs. It seemed as though, Hoyt had an awakening. He had to go down into that alley-way because his 'gut' wouldn't let it alone. And in the end, this is what saved his very existence, now that is reasoning with razor sharpness. Plus he needed to get home to that hot wife of his....<br/><br/>Recommended, but not for those with weaker film story constitutions. (*****)"
"TheMovieDiorama","8","5","5","27 February 2018"," Training Day is a prime example of how just one scene can elevate a film to greatness.
","You all know the scene I'm talking about. Alonzo's monologue against the street that he thought would cooperate with him. That scene. Urgh, genius. A rookie narcotics officer is paired with a more experienced, albeit corrupt, detective for a day of training in the urban streets of Los Angeles. What looks like a semi-professional day on the job turns out to be a nightmare for the rookie. There are a ridiculous amount of positives, but unfortunately there are various negatives that prevents the police drama from being classed as a classic. At its core, this is a character study. A twisted, demented and self-assured detective who may have started out with the right intentions, but gradually becomes corrupted by the streets. The screenplay consistently reaffirms the idea that it is the environment that changes a person. Being adaptable under given scenarios. The depiction of the streets of Los Angeles and the black and white segregation is rather prominent throughout the film's runtime. Yet it feels extremely real. It is the gritty and dark undertone embedded within the narrative that intrigues you and makes you invested in the characters. Speaking of our protagonist(s), Ethan Hawke was sublime as the naive rookie who just wants to help the world, one crime at a time. However, Denzel Washington just owns every scene in what I can only describe as his best performance. His acting was ferocious. Conveying confidence and fear simultaneously. David Ayer's best script (although that's not saying much...) and Antoine Fuqua's best directorial effort. It's just a shame the ending was unsatisfying with too many plot conveniences throughout. What were the chances that the girl they saved at the beginning was the cousin of a Sureño who was going to kill Jake!? Absurdly convenient. Then later we get the craziest overkill of the decade. Bullets galore. Alas, I do find this to be a gripping police drama and Washington's best performance. That's enough for me to highly recommend this."
"jordansimpkin2054","10","33","49","30 January 2006"," Pure Brilliant
","Awesome, one of the best films ever and Denzel Washington does a very convincing portrayal of the cop who crosses the line, but you have to agree with some of his motives. I love when he shoots Roger and Jake freaks out, he makes a very good point when Jake asks why he shot a friend. ""Why was he my friend, because he knew my first name? Roger sold crack to kids and the world is a better place with him dead!"" Every point he makes about modern day ""street"" justice rings very true to modern day crime and justice. It sets the tone very well for an awesome films and all though he is ultimately the bad guy, Alonzo Harris is one of the best characters to every grace the big screen and you can't help but like the guy. There are some great cameos from Dr. Dre and Snoop Dogg<br/><br/>A true modern day classic. Highly recommended"
