"username","rating","helpful","total","date","title","review"
"contronatura","10","297","351","20 February 2000"," The most uncompromising studio picture of the 1990s.
","A complex, multilayered, beautifully directed film, Martin Scorsese's Casino is a masterpiece of destruction and betrayal. Few films take so many chances and succeed so wonderfully. It takes some of the basic formulas that were found in Goodfellas and applies them to another type of story - while Goodfellas' view was ground-level, telling the story of the ""blue collar"" gangsters of NYC, this film tells the story of the guys who controlled those guys. And it's fascinating to watch these people run Las Vegas, control the flow of money, and then fall from the heights of power due to lust, hubris, and greed. An amazing film that will hopefully get the recognition it deserves in the years to come."
"famsmith","10","334","416","28 October 2000"," An underrated and undervalued Scorsese Classic
","If you haven't seen Casino yet, stop whatever it is you're doing, rush to the nearest video store, rent it, and watch it.  Along with Mean Streets Casino is probably Scorsese's most underrated and unheralded picture.  I would also venture to say that this is probably his most ambitious film. The film deals with a particular time period and a particular atmosphere and accomplishes an overwhelming achievement by creating and accurately portraying both.  The art direction is splendid, most likely the best of any film Scorsese has ever done.  The acting is superb.  I never thought Pesci would be able to top his dynamic performance in Raging Bull until I saw Casino.  Every time I watch this picture I fall in love with it all over again.  This is the most honest depiction of Las Vegas, especially of the time period it was portrayed in.  Scorsese's direction is flawless. Perhaps it is because I watch alot of Scorsese and Kubrick films, but I am becoming less satisfied with plot driven films and more enamored by films that possess the freedom that typical stories just don't seem to hold.  Sharon Stone gives the best performance of her career, and as far as the editing is concerned, well if you believe like Kubrick and Pudovkin that a film is not shot, but built who better to have on your team than long time cohort, collaborator, and editor Thelma Schoonmaker.  Ultimately, the genius of Scorsese is not just in the mastery of the medium, but in the understanding and appreciation for the necessity of great collaborators on all levels that Scorsese has consistently utilized throughout his career.  Casino exemplifies not only the best of a Scorsese film, but transcends it.  This film is truly a gem."
"Smells_Like_Cheese","10","283","360","30 October 2003"," ""Now it looks like Disney Land""
","This is one of the best films of the 90's hands down. Without a doubt this has become one of my favorite movies. I'm not sure why really, I just love it. I think because I read the book and a lot of what happened in real life happened in my little town in Chicago. No names, and my old boss who runs our town grocery store actually knew ""Ace"". Again, no names. That was always pretty cool to me, since my town really didn't have much excitement. I guess also because I'm a huge fan of Martin, Robert, and Joe's. When they work together, they create masterpieces. <br/><br/>I've read a lot of comments on IMDb, and more than 50% of the comments are calling this ""Goodfells Part 2"". Is it ""Goodfellas Part 2"", in my opinion, no. Yes, it's very similar situations, but it's not the same plot. It's a little more gory and more bright. ""Casino"" is mainly about the rise and fall of Las Vegas. When Robert DeNiro's character says ""It's more like Disney Land now"". Actually that's true, it's not like it used to be. I'm only 20, but my mom and dad told me how different the times were in the 60's and 70's. Everyone was more close and wanted to know who you were and how everything was going. Everything is more corporate greed now-a-days. But back onto the movie, it does have gangsta's in it, and with that comes some pretty gruesome violence.<br/><br/>Robert DeNiro. No words can describe how wonderful of an actor he is. If you read in most of my comments, you can tell I'm a fan. This movie is actually what made me into a huge fan of his. He's dialog and image is very powerful and you understand his position. You want to love him, even though technically he's a bad guy too, you still think he is so cool. A lot of people I talked too: the guys wanted to be him and the girls wanted to be with him. What a performance, it deserved more praise.<br/><br/>Joe does it again being the A$$hole who thinks with his gun and not with his head. Joe as an actor is very remarkable. He's only 5' 6'', but he is so intimidating. His speech in the desert with Ace and the big confrontation. ""You want me to get out of my own town?! Don't *bleep* with me, Ace!"" Does he swear in this movie? Oh, yeah. A lot, we're talking 400+ f-words, guys. But you get past the vulgar language and just enjoy what Joe says and does. The head vice scene and the metal bat scene with Joe is two of the most disturbing scenes in cinematic history.<br/><br/>Sharon Stone, what can I say? What a remarkable performance! She was very much robbed of her deserved Oscar. I was reading in my ""Rober DeNiro: A history of his films"" that Sharon over shined both Joe's and Robert's performance. In some ways that is very true. She plays a gold-digging, druggie, drunk, hustling, whore. She is very glamorous in the film though, she is covered in beautiful gowns and jewelery that no guy could ever resist. Her first scene where Robert first sees her and she is stealing chips from a guy who has ""hired"" her for a night was extremely effective. You can see why Ace fell so hard for her. What a terrific performance in the end. When she screams at Ace ""I will go to the FBI! I will go to the police! I'm not protecting you anymore!"", you get scarred and can't help but watch more even though you are sitting on your butt for more than 2 1/2 hours. You hate her character so much, you want her to get what's coming to her, that's what makes a terrific performance. When you actually want to make sure that this character gets the justice he or she deserves. Sharon, I apologize, you deserved more praise as well.<br/><br/>Martin Scorcesse. One of the greatest living directors of our time. This film was very wonderfully made with great visuals. The soundtrack really adds a lot, I'm telling you, and the theatrical trailer with the song ""Gimme Shelter"" by the Rolling Stones, what a great feel. Martin has been nominated several times for an Oscar, but they snub him. I think because his films are so violent and typical. But they remain classics. I'm disappointed with the Oscars, this man deserves more. <br/><br/>Whew. ""Casino"" is an excellent movie that I highly recommend for mob movie lovers. Don't compare this to ""Goodfellas"", let it stand on it's own. But please, this is not a movie for children in any manor. For the parents, this is a movie that should be on the wait until the later teens. It's very violent, we're talking a head in a vice, a beating with a metal bat(just to name a few violent scenes, there's more)drugs, sex, and very vulgar language. This is for adults only!It's a great movie that deserves very much to be on the top 250. I'd like to see it in the top 100, but we'll see. <br/><br/>10/10"
"powermandan","10","33","39","22 July 2015"," I Know I Am In The Minority When I Say This Was Much Better Than Goodfellas.
","I saw Goodfellas first and more times than Casino. Yet, I totally love Casino as it is one of the best movies I have literally ever seen. I find Goodfellas to be overrated and Casino to be the movie that learned from the former's flaws.<br/><br/>Something I really do think (more than my own opinion) is that if this was released before Goodfellas, this would be more liked. No new ground was broken, everything was just elevated.<br/><br/>Robert De Niro gives his most underrated performance--as well as the second best of the year (behind Nicolas Cage in Leaving Las Vegas)-- as Sam ""Ace"" Rothstein. Ace is an unbeatable gambler who secures the mob's casino shenanigans while his lifelong best friend, Nicky Santoro (Pesci) keeps everybody in line. The only real difference between Nicky and Tommy from Goodfellas is Tommy has curlier hair. There's divided opinion on who is crazier/more violent. I lean towards Nicky. Ace helps the casino grow and eventually seizes full power by becoming the owner. Nicky's wild and crazy antics get him banned from every Las Vegas casino, so he decides to create his own. Meanwhile, Ace blindly falls for a beautiful prostitute named Ginger (Stone) and they get married. Her habits don't change and Ace does all he can to help her out. The love story in this is amazing. Ginger is unlikeable but we can't turn away from her. Her and Nicky both contribute to Ace's fall as well as the rise of other casinos in Vegas.<br/><br/>One easy thing I loved was the performance by Robert De Niro. He is very likable and my heart breaks every time he is screwed over by Ginger and Nicky. He was easily a better lead than Ray Liotta and his character was more likable and deeper than Jimmy. In fact, all three of our leads in this are much deeper developed than the leads in Goodfellas. Ray Liotta is a dummy who is not cut out to be a mobster, while we see the conviction in Ace as he tries to make everything work out. Casino is also much more flashy and nicer too look at than Goodfellas which takes place in New York. The music in this is not distracting or overpowering. The filming is a step up. the flow is much better. And the story is superior. This has more of a linear and stable story than Goodfellas, which is just a man's escapades in the mafia. Everybody that watches Casino is impacted more than Goodfellas. To watch Casino, you have to be in a mood and well prepared. A movie has really done its job if it does that to a viewer, and actually has a purpose for its content.<br/><br/>4/4"
"Nazi_Fighter_David","8","69","90","22 May 2007"," Robert De Niro, an icon of the contemporary Hollywood crime film...
","Based on a true story, Martin Scorsese ""Casino"" is a motion picture about two characters and their chance to rule the desert paradise of Las Vegas We are introduced in with all the lights, the noise, the flashing and the colors of the town that doesn't sleep day or night <br/><br/>De Niro's character, Sam 'Ace' Rothstein, is based on Frank ""Lefty"" Rosenthal, who was a hell of a handicapper He was so good that whenever he bets, he could change the odds for every bookmaker in the country Genius at what he was doing with numbers, he proved to a lot of guys in the Chicago Mob that he was a tremendous earner that he could make a lot of money for them As a result, he was able to accomplish whatever bookmaking, handicapping, he wanted to do, with the umbrella of protection from those guys 'Ace' runs the casino with an iron fist refusing any outside people cheating at his tables<br/><br/>But he had a fatal flaw 'Ace' always felt that he could logically and intelligently deal with things, even to deal with emotions So he decides on making a life with a woman who, he knows, does not necessarily love him Anyway with such a sexy wife and money to burn, 'Ace' was the epitome of opulence, confidence and power <br/><br/>Ginger McKenna (Sharon Stone) was fascinating Great woman, truly beautiful, one of the best-known hustlers in town For her, a guy like 'Ace' was the ultimate score So the way to Ginger's heart was clearly money 'Ace' knew that but he didn't careWhat he wanted was to marry her <br/><br/>Sharon Stone really stood up to the challenge in her role as a casino hustler who is so wild She was young, fresh, confident, looking absolutely fantastic as the independent woman whom everybody desires<br/><br/>Joe Pesci succeeds in his scary tough role as the strong man who has nerve, and isn't afraid of the cops He was reportedly a mob hit man reputed to be a sadistic killer (In one scene, his character is shown torturing someone by putting his head in a vise.) <br/><br/>To protect his friend and adviser, Nicky (Pesci) would beat to a pulp any street guys who messed with 'Ace' or didn't give him the proper respect Over the course of their friendship Nicky delivered a number of these messages always making sure that 'Ace' didn't get his hands dirty 'Ace' witnessed several beatings on his behalf Nicky's mission was to show his worth to the family as an enforcer<br/><br/>The clothes on De Niro looked very straight, more dangerous and very threatening They were very important cues to his character, and again, to the progression of the story 'Ace' was an extremely fastidious guy And, of course, as you follow the story he starts out in more conservative colors and as things become more chaotic, the colors become more chaotic"
"ray-280","10","111","152","16 August 2005"," A Can't-Miss Story No Matter How Told
","As a lifelong gambler who has crossed paths with a few fringe types portrayed in the film, I'm well aware of the story, the culture, and the ambiance of the Tangiers, the fictional casino placed in the control of Sam ""Ace"" Rothstein (Robert Deniro). Rothstein is not a mob member, but a ""moneymaker"" for them because he's the nation's best sports handicapper. It was refreshing for a movie to finally show that not all gamblers are stupid, but instead one of those who takes advantage of the many who are.<br/><br/>Rothstein's partner in crime is Nicky Santoro (Joe Pesci), who is far less convincing as a mobster than he would seem to like to believe. Sharon Stone plays the psychotic Ginger, a once-in-a-lifetime role in that it was the only time in my life I could bear to watch her on film. The supporting cast is strong, led by James Woods and Don Rickles (excellent in his dramatic capacity), and the movie is generally well-acted.<br/><br/>If you are a gambler or know the ""wiseguy"" culture, the movie doesn't have to be explained, while if you aren't, you'll feel like you've stumbled upon the secret meeting place of the mafia and made privy to what is said, without anyone knowing you were there. This film is based on the true story of what happened when the mob tried to put its men in suits and have them heading a casino, and why it has never been tried since. The homage paid to the incestuous nature of Nevada politics was an excellent touch.<br/><br/>Most of us wouldn't like a guy like Sam Rothstein, nor would we like to be him, but if we go to Vegas for a weekend and stay at a casino/hotel, we'll have a better experience if his watchful eye is ensuring that our stay is a pleasant one. The film's nod to how Vegas has been sanitized since those days is also accurate, and reflects sadness at a lost era, where the baby (the ""old school"" types who made Vegas great) was thrown out with the bathwater (the organized crime influences)."
"FilmOtaku","8","135","189","14 May 2003"," Typically fantastic Scorcese film
","I have to admit my bias, because I believe that Scorcese cannot do wrong - ever.  Even his lesser-known or critically panned films are above the ""great film"" line, and Casino is certainly no exception. <br/><br/>Casino spans three decades and chronicles the true story of a faction of the mob who ran Las Vegas casinos.  Robert DeNiro plays Ace Rothstein, a fantastic bookie who is chosen to run the Tangiers hotel and casino.  Along the way, he marries a drug-addicted con-artist trophy wife (Sharon Stone) and struggles with his friendship with loose-cannon Nicky Santoro (Joe Pesci).  Rothstein is a complicated figure in that he is not a heavy, yet he wields a lot of power due to the respect he has gained from his mob bosses back home.  <br/><br/>Robert DeNiro and Joe Pesci are both fantastic in their roles, and Sharon Stone actually turned out a non-irritating performance.  As the viewer, you can't stand her, but that is the point.  Scorcese's normal supporting cast are also involved in this film, including his great mother - even though she usually has incredibly minimal roles, they are always memorable.<br/><br/>
Scorcese seems to have several different directing styles, and Casino follows in the tradition of Goodfellas as a pseudo-documentary.  A lot of the exposition is revealed by the characters themselves in the form of voice-overs, and several scenes are filmed in documentarian fashion.  The entire production however, is sleek and very quick.  The use of music bears mentioning as well: Most Martin Scorcese films have an amazing soundtrack that adds to and enhances the scene.  Being a child of the MTV age, I'm a sucker for good uses of music in films and Scorcese is a master.  Scorcese doesn't just utilize the soundtrack, he makes it part of the storytelling - by the music, we chronologically know what time period we are witnessing, since one cannot rely on other factors, such as fashion alone.  One of my favorite scenes in film which effectively involves music is actually from Casino - the very intense scene when the relationship between DeNiro, Stone and Pesci come to a head in the climax of the film. The pounding music cut throughout this scene is a cover of ""Satisfaction"" by Devo and the result is absolutely brilliant.  <br/><br/>Being a complete film geek, I generally don't go to films that feature certain stars, I go to films by certain directors and Scorcese is one of them.  While this was probably the tenth time I'd seen this film there were more things I noticed, and I'm sure I'll notice more upon my eleventh viewing.  The man is a complete genius, and a gift to film - my suggestion is to watch some of his films, then check out his unbelievable series, ""A Personal Journey with Martin Scorcese Through American Movies"" which was done the same year as Casino.  The series is essentially a primer on the history of film, sectioned off by film genres.  You not only will experience his amazing intellect and massive knowledge of film history, but his incredible humility as well.<br/><br/>--Shelly"
"waynegavin1","10","6","6","3 April 2020"," HE MAKES A LOTTA MONEY FOR US & HES GONNA CONTINUE TO MAKE A LOTTA MONEY FOR US
","The GOODFELLAS are heading to VEGAS & their bringing their ruthless & destructive GANGSTER mayhem with them,if you enjoyed GOODFELLAS & couldn't get enough of it then fill your spoon with this violent tale of manipulated infatuation & betrayal,opportunities for grandeur see ACE & NICKY relocate to VEGAS,the two friends have come up together & this move will set them apart,ACE sees a legitimate future in the CASINO business & he puts all his stock in reinventing himself as a respectable citizen when he is offered the dream job of managing a CASINO,here he will meet GINGER a slick hustler who works the high rollers for maximum profit,ACE gets infatuated by GINGER & she doesn't hesitate to get her hooks in to the smitten GANGSTER,with things going smoothly & a family on the horizon ACE couldn't ask for more but when NICKY moves out to VEGAS things are gonna be different for ACE as he is manipulated back into the UNDERWORLD through a sense of honor among criminals & NICKY doesn't hesitate to remind him of his past when ACE tries to distance himself from NICKYS activities.....things spiral out of control when his wife's secrets are exposed & NICKYS crime spree brings unwanted attention from city officials....the dream becomes a nightmare & ACE cant contain either situation something that gets noticed by THE OLD GUYS back home...with the whole organization being investigated with a fine tooth comb this UNTOUCHABLE attitude from the MAFIA gets exposed & many heads are gonna role....FANTASTIC again from SCORSESE this is a brilliant MAFIA movie & with DE NIRO & PESCI at their best again this is easily on par with GOODFELLAS...HIGHLY RECOMMENDED."
"G1enn","10","109","167","7 September 2004"," Fantastic Film
","Casino is by far my favourite film. I enjoyed good fellas, thought Raging Bull was great and enjoyed Taxi driver but this is a cut above the rest imo<br/><br/>I have seen this film to many times to count and i am yet to become even remotely sick of it. The acting is flawless, story flows at a great pace for the full all but 3 hours, great narration and a great soundtrack<br/><br/>Pesci and De Niro play their parts so well as does Stone. When watching this film I started to wonder what PEsci is really like in real life. Is he a crazed man like he so often plays? After seeing Casino you are likely to wonder, he is that good<br/><br/>I also think the characters in Casino are far more believable then those in good fellas.<br/><br/>Must see for any gangster film fan"
"DunnDeeDaGreat","10","127","201","15 June 2002"," Scorsese ,Deniro &Pesci deliver again
","Casino has to be one of the most underrated films that Martin Scorsese directed in the nineties. The acting by the leads is good and the script is excellent. Robert Deniro gave an Oscar worthy performance and Joes Pesci is chilling yet funny again. Even Sharon Stone is good in this brilliant film"
